IdUser;User
6.0;andrevan
10.0;anárion
14.0;172
17.0;jwrosenzweig
19.0;ffirehorse
20.0;michael
24.0;jayjg
25.0;blankfaze
26.0;grunt
28.0;neutrality
29.0;ugen64
34.0;norm
35.0;func
41.0;acegikmo1
46.0;tuf-kat
47.0;rebecca
54.0;zoney
59.0;sj
73.0;veryverily
94.0;netoholic
111.0;isomorphic
127.0;mackensen
138.0;lucky
139.0;davidcannon
143.0;fire
178.0;macgyvermagic
180.0;sarge
223.0;wolfman
269.0;filiocht
284.0;passw0rd
292.0;decumanus
5.0;orthogonal
7.0;texture
8.0;lst27
11.0;merovingian
27.0;slowking
39.0;squash
55.0;thecustomoflife
56.0;guanaco
62.0;node
63.0;zchangu
64.0;beau99
65.0;friedmilk
66.0;ezhiki
4.0;gzornenplatz
9.0;mirv
12.0;wile
15.0;danny
33.0;chmod007
45.0;avnative
68.0;john
72.0;everyking
75.0;phil_sandifer
76.0;drbug
77.0;jiang
78.0;uninvitedcompany
79.0;rickk
80.0;swadair
81.0;bcorr
82.0;xiaopo
87.0;david
113.0;sam
161.0;ilyanep
306.0;rje
312.0;juntung
315.0;pavel
319.0;utcursch
386.0;muriel
454.0;hcheney
497.0;oberiko
498.0;snoyes
499.0;viajero
513.0;jerzy
738.0;dante
782.0;rad
808.0;josh
95.0;jor
96.0;aris
98.0;rmhermen
99.0;tim
100.0;gadykozma
101.0;fennec
36.0;antandrus
44.0;morven
53.0;kevin
58.0;stormie
86.0;bishonen
89.0;golbez
90.0;mark
120.0;secretlondon
122.0;alex
136.0;cool
154.0;rdsmith4
155.0;nat
173.0;el
249.0;pcb21
275.0;johnleemk
280.0;duk
305.0;syss
308.0;mindspillage
311.0;sjakkalle
335.0;deb
336.0;bkonrad
371.0;gadfium
383.0;dr
388.0;eclecticology
407.0;alkivar
457.0;the
542.0;cimon
556.0;mperel
600.0;slimvirgin
634.0;cj
695.0;tony
697.0;tenofalltrades
701.0;stan
710.0;flcelloguy
762.0;carnildo
763.0;alai
766.0;mailer
787.0;spui
788.0;kelly
791.0;squeakbox
816.0;schmuckythecat
825.0;grandmasterka
852.0;gmaxwell
854.0;oleg
865.0;grace
974.0;bastique
984.0;ashley
994.0;spangineer
996.0;christopher
1034.0;shimgray
1037.0;rx
1041.0;a
1051.0;jitse
1055.0;ral315
1064.0;rick
1075.0;briangotts
1097.0;noseptember
1106.0;oldakquill
1111.0;tshilo12
1133.0;mike
1142.0;dragons
1151.0;mongo
1164.0;cryptic
1166.0;xoloz
1179.0;fred
1190.0;jredmond
1193.0;zscout370
1215.0;jeffrey
1228.0;ravedave
1247.0;feydey
1285.0;thebainer
1359.0;was
1395.0;kirill
1470.0;doc
1496.0;titoxd
1497.0;nandesuka
1522.0;voice
1538.0;drini
1542.0;fayssalf
1549.0;jaranda
1552.0;silensor
1603.0;desiegel
1608.0;rogerd
1614.0;r.d.h.
1622.0;joanneb
1644.0;chick
1661.0;dragonflysixtyseven
1697.0;jkelly
1701.0;jossi
1717.0;haukurth
1730.0;bunchofgrapes
1733.0;anetode
1751.0;perceval
1767.0;tom
1783.0;shanel
1800.0;smmurphy
1835.0;killerchihuahua
1847.0;chairboy
1915.0;h
1924.0;huldra
1979.0;sherool
2016.0;saravask
2064.0;josiah
2127.0;jtmichcock
2135.0;kusma
2144.0;messedrocker
2160.0;akmask
2172.0;crotalus
2178.0;pathoschild
2225.0;cbdunkerson
2231.0;ps2pcgamer
2237.0;khoikhoi
2240.0;sceptre
2256.0;naconkantari
2276.0;^demon
2297.0;lar
2323.0;cyde
2364.0;reybrujo
2365.0;peter
2368.0;batmanand
2369.0;nick
2381.0;nae'blis
2384.0;aldux
2410.0;bbatsell
2440.0;maxsem
2504.0;jzg
2507.0;rebelguys2
2535.0;badlydrawnjeff
2544.0;ianmanka
2564.0;will
2566.0;jjay
2567.0;inksplotch
2585.0;pilotguy
2594.0;lightdarkness
